CASEID_1979,CPUBID1,CPUBID2,CPUBID3,CPUBID4,CPUBID5,CPUBID6
966,12114,66198,NA,NA,NA,NA
967,40368,49128,NA,NA,NA,NA
971,17340,47242,NA,NA,NA,NA
974,49772,42492,NA,NA,NA,NA
975,64855,96016,NA,NA,NA,NA
978,40241,42001,NA,NA,NA,NA
979,89692,79484,NA,NA,NA,NA
981,15648,24413,NA,NA,NA,NA
986,47848,NA,NA,NA,NA,NA
988,90204,NA,NA,NA,NA,NA
992,45199,98564,48691,NA,NA,NA
995,59010,18710,NA,NA,NA,NA
998,32621,23003,43214,45516,54420,NA
999,56004,25956,NA,NA,NA,NA
1005,64589,52124,63940,14564,78819,NA
1008,22444,NA,NA,NA,NA,NA
1009,19738,NA,NA,NA,NA,NA
1015,99966,59713,49396,55861,NA,NA
1016,89191,NA,NA,NA,NA,NA
1017,19873,59915,NA,NA,NA,NA
1018,93372,91320,NA,NA,NA,NA
1019,75124,36313,69743,NA,NA,NA
1024,21602,NA,NA,NA,NA,NA
1025,63363,73719,85068,36701,92929,NA
1030,66867,10815,62005,14072,NA,NA
1033,14361,94862,43269,36850,NA,NA
1034,62025,76443,51491,NA,NA,NA
1035,58009,15561,NA,NA,NA,NA
1036,85618,NA,NA,NA,NA,NA
1038,53829,57788,NA,NA,NA,NA
1039,63778,NA,NA,NA,NA,NA
1040,27998,NA,NA,NA,NA,NA
1048,13566,98027,NA,NA,NA,NA
1049,16511,22477,75649,NA,NA,NA
1050,16335,NA,NA,NA,NA,NA
1056,82687,60185,46959,NA,NA,NA
1057,77065,61484,94062,64026,NA,NA
1063,31697,33524,NA,NA,NA,NA
1065,59411,28365,68650,NA,NA,NA
1069,89965,64810,NA,NA,NA,NA
1070,10579,15002,71063,NA,NA,NA
1071,83633,68982,37362,NA,NA,NA
1074,63669,NA,NA,NA,NA,NA
1076,78854,NA,NA,NA,NA,NA
1077,36831,11507,36376,NA,NA,NA
1079,86476,NA,NA,NA,NA,NA
1080,50486,55800,37459,NA,NA,NA
1082,24450,63993,NA,NA,NA,NA
1083,20429,20157,NA,NA,NA,NA
1086,54457,NA,NA,NA,NA,NA
1087,14912,74206,88172,83398,75440,NA
1088,68843,57292,64278,34343,93776,98835
1090,11620,61588,79689,NA,NA,NA
1093,84769,30004,97388,NA,NA,NA
1101,43662,22599,NA,NA,NA,NA
1103,39432,NA,NA,NA,NA,NA
1104,85458,NA,NA,NA,NA,NA
1108,45676,34141,NA,NA,NA,NA
1110,99646,NA,NA,NA,NA,NA
1111,31945,42056,NA,NA,NA,NA
1112,89966,89724,NA,NA,NA,NA
1116,77135,20871,NA,NA,NA,NA
1117,58978,57089,96316,NA,NA,NA
1118,96238,NA,NA,NA,NA,NA
1121,48727,48310,NA,NA,NA,NA
1123,65398,95915,95041,46794,88239,NA
1126,79758,55122,78166,NA,NA,NA
1128,12231,NA,NA,NA,NA,NA
1130,48456,97330,NA,NA,NA,NA
1131,33928,NA,NA,NA,NA,NA
1132,77227,96850,NA,NA,NA,NA
1133,98133,75719,14028,NA,NA,NA
1135,16264,71982,NA,NA,NA,NA
1136,10376,76121,NA,NA,NA,NA
1141,88927,64251,NA,NA,NA,NA
1147,38202,48767,NA,NA,NA,NA
1152,30933,49387,75897,NA,NA,NA
1155,66008,NA,NA,NA,NA,NA
1157,87080,37867,NA,NA,NA,NA
1158,33902,33450,NA,NA,NA,NA
1159,74933,97373,NA,NA,NA,NA
1160,69095,39520,84092,51306,76900,64455
1161,58092,75437,NA,NA,NA,NA
1162,25209,NA,NA,NA,NA,NA
1163,94749,24026,NA,NA,NA,NA
1164,69874,74016,NA,NA,NA,NA
1165,86081,73839,74125,NA,NA,NA
1166,53626,52636,NA,NA,NA,NA
1167,14987,77720,NA,NA,NA,NA
1168,48611,NA,NA,NA,NA,NA
1170,88441,57604,26297,61083,NA,NA
1172,73849,36513,89789,NA,NA,NA
1177,50525,51650,NA,NA,NA,NA
1179,74197,70891,NA,NA,NA,NA
1181,94370,74621,60351,NA,NA,NA
1184,42077,48706,17447,NA,NA,NA
1187,18025,97512,99844,NA,NA,NA
1189,23959,26177,NA,NA,NA,NA
1191,20858,NA,NA,NA,NA,NA
