CPUBID,CSEX,CMOB,CYRB
63044,1,7,1985
95189,2,7,1986
18691,1,7,1979
47714,1,11,1988
22375,1,12,1991
32442,2,1,1993
10122,2,10,1977
75655,2,11,1982
53602,1,3,1981
77521,2,6,1986
27015,2,9,1978
66937,2,1,1982
22510,2,9,1976
73978,1,1,1979
79919,2,10,1986
25452,2,3,1979
44968,1,10,1981
19112,1,11,1985
29484,1,3,1990
41733,1,4,1992
15746,2,6,1999
74558,1,7,1983
72842,1,4,1986
49884,2,5,1983
27649,1,1,1985
48143,1,7,1986
74097,2,6,1978
26230,1,5,1981
46766,2,1,1985
89120,1,9,1987
24173,2,7,1997
83890,1,4,1996
12606,NA,NA,NA
56118,NA,NA,NA
38986,1,7,1991
89773,2,8,1989
40310,2,6,1992
97875,2,5,1995
11977,1,6,1998
53011,2,5,1994
94264,2,3,1997
41309,2,3,1982
65783,1,7,1984
38262,2,9,1986
50267,2,10,1996
45529,2,10,1999
27929,1,5,1987
86972,1,3,1990
36956,2,12,1979
88482,1,11,1984
51607,1,9,1984
87711,1,7,1986
88951,1,5,1991
28424,2,8,1981
88625,2,2,1983
45858,2,11,1985
12019,2,3,1992
75577,1,2,1996
15045,1,8,1987
90768,2,8,1994
64173,2,9,1989
75457,1,11,1991
95186,2,3,1995
94243,1,8,1988
14778,2,7,1990
14548,1,3,1996
20582,1,12,1997
67641,1,7,1991
72346,2,1,1995
31174,1,11,1996
22370,1,1,1998
62501,2,8,1984
60004,1,4,1987
94912,2,11,1991
24901,1,4,1993
49266,2,7,1987
29527,1,9,1983
81635,1,10,1987
12748,2,1,1989
69807,1,9,1981
53827,2,10,1984
75781,1,9,1976
80635,1,9,1976
28714,2,8,1979
26389,2,9,1981
53448,2,8,1977
93567,2,3,1980
67509,1,6,1989
68675,2,12,1984
17820,2,12,1985
44873,1,11,1988
19725,1,5,1986
87168,1,4,1989
15139,1,8,1992
27120,1,6,1979
29989,2,10,1981
14154,1,12,1984
25023,2,10,1986
21591,2,8,1982
32261,1,8,1984
75040,1,6,1988
78513,2,11,1991
16958,2,8,1983
99981,1,11,1984
59608,1,1,1995
11019,1,8,1982
89757,2,10,1978
54474,1,9,1984
84535,1,9,1998
90158,1,11,2000
80139,2,2,1983
98213,1,10,1984
20531,1,3,1987
37701,2,3,1991
12114,2,2,1997
66198,1,5,2001
40368,1,3,1991
49128,1,8,1993
17340,2,6,1993
47242,1,5,1995
49772,1,4,1989
42492,1,8,1991
64855,2,2,1982
96016,1,2,1985
40241,2,8,1984
42001,2,1,1987
89692,1,4,1981
79484,1,12,1984
15648,1,12,1986
24413,2,9,1989
47848,2,6,1981
90204,1,5,1975
45199,2,2,1977
98564,1,10,1979
48691,1,7,1981
59010,2,5,1971
18710,1,12,1979
32621,1,2,1982
23003,2,2,1987
43214,1,3,1989
45516,1,10,1995
54420,2,1,1998
56004,1,9,1984
25956,1,8,1986
64589,1,11,1979
52124,1,7,1981
63940,2,5,1986
14564,2,5,1988
78819,2,5,1989
22444,2,8,1976
19738,1,9,1976
99966,2,6,1984
59713,1,11,1986
49396,2,8,1991
55861,1,12,1996
89191,1,12,1995
19873,2,3,1989
59915,1,6,1992
93372,1,6,1992
91320,2,4,1995
75124,1,6,1999
36313,2,10,2002
69743,1,6,2005
21602,2,2,1991
63363,1,3,1973
73719,1,9,1976
85068,1,1,1980
36701,2,2,1982
92929,1,3,1983
66867,1,1,1979
10815,2,3,1983
62005,2,3,1987
14072,2,11,1996
14361,1,4,1985
